time_s,vx_mps,vy_mps,speed_mps,x_m,y_m,dist_from_start_m,path_length_m,true_displacement
936.248567,-193.632467846425,660.88996694848,688.6719690951998,-92149.4971236737,292431.680688798,306606.9433176964,307383.8356172704,
936.348569,-193.52871938948,660.962233881266,688.7121603731456,-92168.8555701967,292497.774620692,306675.7996568639,307452.70620086737,
936.448553,-193.430297549817,661.028588290022,688.7481938610874,-92188.2004253715,292563.863585874,306744.64718061883,307521.5681986641,
936.548524,-193.3103047742,661.083984915942,688.7676742155046,-92207.531847749,292629.950043902,306813.4882826213,307590.42401777784,
936.648496,-193.169152877677,661.129484160954,688.7717448113043,-92226.8504099192,292696.042206367,306882.330967107,307659.28170277836,
936.74849,-193.03052000591,661.165485849802,688.7674363184984,-92246.1592349643,292762.152987983,306951.1884905507,307728.1545288457,
936.848483,-192.909374524827,661.190485347073,688.7574933843247,-92265.4548789012,292828.266158297,307020.0443379634,307797.02595371776,
936.948482,-192.791789266152,661.204105450554,688.7376445883525,-92284.7397442402,292894.38522664,307088.90257864015,307865.9000216221,
937.048528,-192.677928844283,661.213943059987,688.7152261716436,-92304.0220959492,292960.53654468,307157.79083011433,307934.80434634746,
937.148582,-192.569180379701,661.225522117009,688.6959273373271,-92323.2948530824,293026.694223805,307226.68227265106,308003.71209391416,
937.248578,-192.452873299795,661.232484938646,688.6701006864489,-92342.5451857222,293092.814479241,307295.53128989675,308072.57764034823,
937.348587,-192.322337645797,661.23385755615,688.6349511432969,-92361.785677758,293158.943747465,307364.3859537299,308141.44909052626,
937.448584,-192.186913189425,661.232699366062,688.5960298405797,-92381.0105635359,293225.065091611,307433.22837767494,308210.3085734233,
937.548577,-192.051326137982,661.223857754816,688.5497091245618,-92400.2211306684,293291.183290869,307502.06350714876,308279.16104006517,
937.648599,-191.920551521267,661.210672304376,688.5005818918617,-92419.423948242,293357.319564152,307570.91355456365,308348.0287018995,
937.748578,-191.803565396814,661.205110195866,688.4626391083667,-92438.6061249847,293423.426467911,307639.72939544014,308416.8624046126,
937.848578,-191.687997521186,661.211866220497,688.4369400493226,-92457.7807031306,293489.547316732,307708.5562618116,308485.70738333935,
937.948544,-191.560092527415,661.221020369869,688.4101298122237,-92476.9365924155,293555.646479703,307777.35683710396,308554.52633014735,
938.048556,-191.41663808547,661.221650928027,688.3708310147441,-92496.0877268065,293621.776547923,307846.18546917796,308623.3736385278,
938.14857,-191.274277708004,661.22043259418,688.3300878159789,-92515.2249514326,293687.907909194,307915.0111636219,308692.2183210382,
938.248601,-191.14188782166,661.222619688609,688.2954119183819,-92534.3516871596,293754.050559676,307983.84448275797,308761.07093342405,
